A:00 F:40 B:D4 C:10 D:00 E:D8 H:DF L:D2 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D3 C:10 D:00 E:D8 H:DF L:D2 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D3 C:10 D:00 E:D8 H:DF L:D2 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D3 C:10 D:00 E:D8 H:DF L:D1 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D2 C:10 D:00 E:D8 H:DF L:D1 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D2 C:10 D:00 E:D8 H:DF L:D1 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D2 C:10 D:00 E:D8 H:DF L:D0 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D1 C:10 D:00 E:D8 H:DF L:D0 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D1 C:10 D:00 E:D8 H:DF L:D0 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D1 C:10 D:00 E:D8 H:DF L:CF SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D0 C:10 D:00 E:D8 H:DF L:CF SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D0 C:10 D:00 E:D8 H:DF L:CF SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D0 C:10 D:00 E:D8 H:DF L:CE SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:60 B:CF C:10 D:00 E:D8 H:DF L:CE SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:60 B:CF C:10 D:00 E:D8 H:DF L:CE SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:60 B:CF C:10 D:00 E:D8 H:DF L:CD SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:CE C:10 D:00 E:D8 H:DF L:CD SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:CE C:10 D:00 E:D8 H:DF L:CD SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:CE C:10 D:00 E:D8 H:DF L:CC SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:05
A:00 F:40 B:CD C:10 D:00 E:D8 H:DF L:CC SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:05
A:00 F:40 B:CD C:10 D:00 E:D8 H:DF L:CC SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:05
A:00 F:40 B:CD C:10 D:00 E:D8 H:DF L:CB SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:05
